pg,os,type,os_code,os_arch,pkg,ext,pname,miss,hide,pkg_repo,pkg_ver,count
16,d12.x86_64,deb,d12,x86_64,pg_uri,uri,postgresql-16-pg-uri,t,f,pigsty,1.20151224,1
16,d12.x86_64,deb,d12,x86_64,pg_uuidv7,pg_uuidv7,postgresql-16-pg-uuidv7,t,f,pigsty,1.6.0,1
16,d12.x86_64,deb,d12,x86_64,pg_vault,supabase_vault,postgresql-16-vault,t,f,pigsty,0.3.1,1
16,d12.x86_64,deb,d12,x86_64,pg_vectorize,vectorize,postgresql-16-pg-vectorize,t,f,pigsty,0.22.2,1
16,d12.x86_64,deb,d12,x86_64,pg_wait_sampling,pg_wait_sampling,postgresql-16-pg-wait-sampling,t,f,pgdg,1.1.8,1
16,d12.x86_64,deb,d12,x86_64,pg_xenophile,pg_xenophile,postgresql-16-pg-xenophile,t,f,pigsty,0.8.3,1
16,d12.x86_64,deb,d12,x86_64,pg_xxhash,xxhash,postgresql-16-pg-xxhash,t,f,pigsty,0.0.1,1
16,d12.x86_64,deb,d12,x86_64,pg_zstd,zstd,postgresql-16-zstd,t,f,pigsty,1.1.2,1
16,d12.x86_64,deb,d12,x86_64,pgactive,pgactive,postgresql-16-pgactive,t,f,pigsty,2.1.5,1
16,d12.x86_64,deb,d12,x86_64,pgagent,pgagent,pgagent,t,f,,,0
16,d12.x86_64,deb,d12,x86_64,pgaudit,pgaudit,postgresql-16-pgaudit,t,f,pgdg,16.1,1
16,d12.x86_64,deb,d12,x86_64,pgauditlogtofile,pgauditlogtofile,postgresql-16-pgauditlogtofile,t,f,pgdg,1.6.4,1
16,d12.x86_64,deb,d12,x86_64,pgautofailover,pgautofailover,postgresql-16-auto-failover,t,f,pgdg,2.2,1
16,d12.x86_64,deb,d12,x86_64,pgbouncer_fdw,pgbouncer_fdw,,t,f,,,0
16,d12.x86_64,deb,d12,x86_64,pgcozy,pgcozy,postgresql-16-pgcozy,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,pgcryptokey,pgcryptokey,postgresql-16-pgcryptokey,t,f,pigsty,0.85,1
16,d12.x86_64,deb,d12,x86_64,pgdd,pgdd,postgresql-16-pgdd,t,f,pigsty,0.6.0,1
16,d12.x86_64,deb,d12,x86_64,pgemailaddr,emailaddr,postgresql-16-pg-emailaddr,t,f,pigsty,0,1
16,d12.x86_64,deb,d12,x86_64,pgextwlist,pgextwlist,postgresql-16-pgextwlist,t,f,pgdg,1.19,1
16,d12.x86_64,deb,d12,x86_64,pgfaceting,pgfaceting,postgresql-16-pgfaceting,t,f,pgdg,0.2.0,1
16,d12.x86_64,deb,d12,x86_64,pgfincore,pgfincore,postgresql-16-pgfincore,t,f,pgdg,1.3.1,1
16,d12.x86_64,deb,d12,x86_64,pgjq,pgjq,postgresql-16-pgjq,t,f,pigsty,0.1.0,1
16,d12.x86_64,deb,d12,x86_64,pgjwt,pgjwt,postgresql-16-pgjwt,t,f,pigsty,0.2.0,1
16,d12.x86_64,deb,d12,x86_64,pgl_ddl_deploy,pgl_ddl_deploy,postgresql-16-pgl-ddl-deploy,t,f,pgdg,2.2.1,1
16,d12.x86_64,deb,d12,x86_64,pglite_fusion,pglite_fusion,postgresql-16-pglite-fusion,t,f,pigsty,0.0.5,1
16,d12.x86_64,deb,d12,x86_64,pglogical,pglogical,postgresql-16-pglogical,t,f,pgdg,2.4.5,1
16,d12.x86_64,deb,d12,x86_64,pglogical_ticker,pglogical_ticker,postgresql-16-pglogical-ticker,t,f,pgdg,1.4.1,1
16,d12.x86_64,deb,d12,x86_64,pgmemcache,pgmemcache,postgresql-16-pgmemcache,t,f,pgdg,2.3.0,1
16,d12.x86_64,deb,d12,x86_64,pgmeminfo,pgmeminfo,postgresql-16-pgmeminfo,t,f,pigsty,1.0.0,1
16,d12.x86_64,deb,d12,x86_64,pgml,pgml,postgresql-16-pgml,t,f,pigsty,2.10.0,1
16,d12.x86_64,deb,d12,x86_64,pgmp,pgmp,postgresql-16-pgmp,t,f,pgdg,1.0.5,1
16,d12.x86_64,deb,d12,x86_64,pgmq,pgmq,postgresql-16-pgmq,t,f,pigsty,1.5.1,1
16,d12.x86_64,deb,d12,x86_64,pgnodemx,pgnodemx,postgresql-16-pgnodemx,t,f,pigsty,1.7,2
16,d12.x86_64,deb,d12,x86_64,pgpcre,pgpcre,postgresql-16-pgpcre,t,f,pgdg,0.20190509,1
16,d12.x86_64,deb,d12,x86_64,pgpdf,pgpdf,postgresql-16-pgpdf,t,f,pigsty,0.1.0,1
16,d12.x86_64,deb,d12,x86_64,pgpool,pgpool_adm,postgresql-16-pgpool2,t,f,pgdg,4.6.2,1
16,d12.x86_64,deb,d12,x86_64,pgq,pgq,postgresql-16-pgq3,t,f,pgdg,3.5.1,1
16,d12.x86_64,deb,d12,x86_64,pgqr,pgqr,postgresql-16-pgqr,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,pgroonga,pgroonga,postgresql-16-pgroonga,t,f,pigsty,4.0.0,1
16,d12.x86_64,deb,d12,x86_64,pgrouting,pgrouting,postgresql-16-pgrouting,t,f,pgdg,3.8.0,1
16,d12.x86_64,deb,d12,x86_64,pgsentinel,pgsentinel,postgresql-16-pgsentinel,t,f,pigsty,1.1.0,1
16,d12.x86_64,deb,d12,x86_64,pgsmcrypto,pgsmcrypto,postgresql-16-pgsmcrypto,t,f,pigsty,0.1.0,1
16,d12.x86_64,deb,d12,x86_64,pgsodium,pgsodium,postgresql-16-pgsodium,t,f,pigsty,3.1.9,1
16,d12.x86_64,deb,d12,x86_64,pgsparql,sparql,postgresql-16-pgsparql,t,f,pigsty,1.0,1
16,d12.x86_64,deb,d12,x86_64,pgsphere,pg_sphere,postgresql-16-pgsphere,t,f,pgdg,1.5.1,1
16,d12.x86_64,deb,d12,x86_64,pgspider_ext,pgspider_ext,postgresql-16-pgspider-ext,t,f,pigsty,1.3.0,1
16,d12.x86_64,deb,d12,x86_64,pgsql_tweaks,pgsql_tweaks,postgresql-16-pgsql-tweaks,t,f,pigsty,0.11.3,1
16,d12.x86_64,deb,d12,x86_64,pgtap,pgtap,postgresql-16-pgtap,t,f,pgdg,1.3.3,1
16,d12.x86_64,deb,d12,x86_64,pgtt,pgtt,postgresql-16-pgtt,t,f,pgdg,4.4,2
16,d12.x86_64,deb,d12,x86_64,pguint,uint,postgresql-16-pguint,t,f,pigsty,1.20231206,1
16,d12.x86_64,deb,d12,x86_64,pgunit,unit,postgresql-16-unit,t,f,pgdg,7.10,1
16,d12.x86_64,deb,d12,x86_64,pgvector,vector,postgresql-16-pgvector,t,f,pgdg,0.8.0,1
16,d12.x86_64,deb,d12,x86_64,pgvectorscale,vectorscale,postgresql-16-pgvectorscale,t,f,pigsty,0.7.1,1
16,d12.x86_64,deb,d12,x86_64,pgx_ulid,pgx_ulid,postgresql-16-pgx-ulid,t,f,pigsty,0.2.0,1
16,d12.x86_64,deb,d12,x86_64,pgxicor,xicor,postgresql-16-pgxicor,t,f,pigsty,0.1.0,1
16,d12.x86_64,deb,d12,x86_64,pldebugger,pldbgapi,postgresql-16-pldebugger,t,f,pgdg,1:1.8,1
16,d12.x86_64,deb,d12,x86_64,pljava,pljava,postgresql-16-pljava,t,f,pgdg,1.6.9,1
16,d12.x86_64,deb,d12,x86_64,pllua,pllua,postgresql-16-pllua,t,f,pgdg,1:2.0.12,1
16,d12.x86_64,deb,d12,x86_64,plpgsql_check,plpgsql_check,postgresql-16-plpgsql-check,t,f,pgdg,2.8.1,1
16,d12.x86_64,deb,d12,x86_64,plprofiler,plprofiler,postgresql-16-plprofiler,t,f,pgdg,4.2.5,1
16,d12.x86_64,deb,d12,x86_64,plproxy,plproxy,postgresql-16-plproxy,t,f,pgdg,2.11.0,1
16,d12.x86_64,deb,d12,x86_64,plprql,plprql,postgresql-16-plprql,t,f,pigsty,1.0.0,1
16,d12.x86_64,deb,d12,x86_64,plr,plr,postgresql-16-plr,t,f,pgdg,1:8.4.8,1
16,d12.x86_64,deb,d12,x86_64,plsh,plsh,postgresql-16-plsh,t,f,pgdg,1.20220917,1
16,d12.x86_64,deb,d12,x86_64,plv8,plv8,postgresql-16-plv8,t,f,pigsty,3.2.3,1
16,d12.x86_64,deb,d12,x86_64,pointcloud,pointcloud,postgresql-16-pointcloud,t,f,pgdg,1.2.5,1
16,d12.x86_64,deb,d12,x86_64,postgis,postgis,postgresql-16-postgis-3,t,f,pgdg,3.5.3+dfsg,1
16,d12.x86_64,deb,d12,x86_64,powa,powa,postgresql-16-powa,t,f,pgdg,5.0.3,1
16,d12.x86_64,deb,d12,x86_64,preprepare,pre_prepare,postgresql-16-preprepare,t,f,pgdg,0.9,1
16,d12.x86_64,deb,d12,x86_64,q3c,q3c,postgresql-16-q3c,t,f,pgdg,2.0.1,1
16,d12.x86_64,deb,d12,x86_64,quantile,quantile,postgresql-16-quantile,t,f,pigsty,1.1.8,1
